uscounty,Custer,2735,9228,0,7150,7573,196888
uscounty,Howard,440,1296,0,1105,1089,49432
uscounty,Palm Beach,322,719,0,600,584,12568
uscounty,Lincoln,2301,6659,1,4990,5416,196888
uscounty,Butler,1480,4942,1,4323,4316,196888
uscounty,Sumner,1549,3787,1,2928,3076,49432
uscounty,King and Queen,1139,2465,1,1557,1968,49432
uscounty,Carroll,851,1735,0,1562,1569,49432
uscounty,Waynesboro,990,2483,8,2167,2095,49432
uscounty,Sitka,4899,18201,0,15458,15895,196888
uscounty,Multnomah,1254,2207,0,1610,1747,49432
uscounty,Grundy,865,1971,0,1542,1637,49432
uscounty,Hubbard,3213,11407,1,9605,9584,196888
uscounty,Sargent,4938,19672,0,14861,15514,196888
uscounty,St. Lawrence,1023,1912,1,1452,1509,49432
uscounty,Reynolds,2848,12539,0,10192,10107,196888
uscounty,Sacramento,870,1671,0,1145,1175,49432
uscounty,Paulding,1024,1939,0,1540,1485,49432
uscounty,Wells,2136,4115,1,4076,3960,196888
uscounty,Floyd,1409,2781,0,2143,2006,49432
uscounty,Santa Barbara,1292,2668,0,2138,2305,49432
uscounty,Boone,850,1935,1,1259,1573,49432
uscounty,Benton,2466,4582,0,3087,3496,196888
uscounty,Crittenden,2377,4392,0,2563,3505,196888
uscounty,Palo Alto,3163,12216,0,10005,9986,196888
uscounty,Ringgold,2372,5736,0,4314,4855,196888
uscounty,Randolph,1314,2681,0,1918,2279,49432
uscounty,Cecil,1128,2187,0,1506,1607,49432
uscounty,Warren,1088,2188,0,1244,1822,49432
uscounty,Greeley,3200,8289,0,7354,7296,196888
uscounty,Jefferson,426,1121,0,1005,987,49432
uscounty,Saline,1437,3788,0,3109,3061,196888
uscounty,Knott,2342,5395,1,4637,4563,196888
uscounty,Clinton,1815,3864,1,3463,3105,49432
uscounty,Jackson,2469,8868,2,7147,7160,196888
uscounty,Dodge,1637,4212,1,3757,3728,196888
uscounty,Freeborn,840,1740,1,1408,1520,49432
uscounty,Calaveras,8634,30415,0,24872,25037,786712
uscounty,Barnstable,9581,37961,1,30960,32553,786712
uscounty,Middlesex,870,2033,0,1778,1835,49432
uscounty,Jefferson,632,1418,0,1038,1172,49432
uscounty,Lake,1166,2444,0,1846,2020,49432
uscounty,Bedford,3410,13257,0,10675,10580,196888
uscounty,Clay,4177,15385,1,12208,12180,196888
uscounty,Coles,3924,26434,0,21206,21242,196888
uscounty,Lauderdale,802,1593,0,1227,1319,49432
uscounty,Baker,8341,12599,0,8181,8266,196888
uscounty,Schuyler,1890,6410,0,5230,5338,196888
uscounty,Van Buren,1474,2789,0,1968,2193,49432
uscounty,Mercer,2291,5722,1,4945,5003,196888
uscounty,Lawrence,6403,17795,0,14300,14256,786712
uscounty,Morgan,2615,9143,0,7337,7619,196888
uscounty,Muhlenberg,989,2316,1,1659,1952,49432
uscounty,Effingham,4488,28627,0,23032,23024,196888
uscounty,Loudon,2739,9363,1,7117,7643,196888
uscounty,Clark,4787,19982,0,14451,16037,196888
uscounty,Honolulu,2970,6323,0,5714,5675,196888
uscounty,Gilchrist,1437,2754,0,2177,2146,49432
uscounty,Tippecanoe,357,994,1,797,791,12568
uscounty,Snyder,2138,4361,2,2970,3425,196888
uscounty,Lamar,757,1667,0,1265,1209,49432
uscounty,Miami-Dade,1614,4874,0,3675,3851,49432
uscounty,Dundy,4041,16712,0,13592,13503,196888
uscounty,Leon,2080,9317,0,7404,7345,196888
uscounty,Pitkin,602,1257,0,978,978,49432
uscounty,Grand Forks,2032,3735,0,2732,3062,196888
uscounty,LaPorte,5254,22166,1,18282,18257,196888
uscounty,Hamilton,1792,3749,1,2676,2944,196888
uscounty,Emporia,1650,6874,0,5674,5485,49432
